brand;phone;price_norm;price_off;retail
Samsung;galaxy a04;569;549;Ripley
Samsung;galaxy a04e;489;469;Ripley
Samsung;galaxy a13;649;599;Ripley
Samsung;galaxy a23;849;769;Ripley
Samsung;galaxy a33;1199;1099;Ripley
Samsung;galaxy a53;1689;1599;Ripley
Samsung;galaxy s20 fe;1899;1799;Ripley
Samsung;galaxy s21 fe;2899;2499;Ripley
Samsung;galaxy s22;3499;3299;Ripley
Samsung;galaxy s22 ultra;4399;4199;Ripley
Samsung;galaxy s22 plus;4599;4399;Ripley
Samsung;galaxy s23;3999;3799;Ripley
Samsung;galaxy s23 plus;4799;4599;Ripley
Samsung;galaxy s23 ultra;5599;5399;Ripley
Samsung;galaxy z flip4;3699;3599;Ripley
Samsung;galaxy z fold4;6799;6599;Ripley
Honor;honor 50;2999;2799;Ripley
Honor;honor x9 ;1499;1349;Ripley
Apple;iphone 11;2199;2099;Ripley
Apple;iphone 11;2499;2399;Ripley
Apple;iphone 13;4099;3999;Ripley
Apple;iphone 13;4999;4899;Ripley
Apple;iphone 13 pro;4799;4699;Ripley
Apple;iphone 13 pro;5999;5899;Ripley
Apple;iphone 13 pro max;6199;5999;Ripley
Apple;iphone 14;4999;4899;Ripley
Apple;iphone 14;4499;4349;Ripley
Apple;iphone 14 plus;4999;4899;Ripley
Apple;iphone 14 plus;5599;5499;Ripley
Apple;iphone 14 pro;5899;5799;Ripley
Apple;iphone se;2399;2199;Ripley
Apple;iphone se;2699;2499;Ripley
Apple;iphone se;2499;2299;Ripley
Xiaomi;mi 12;3459;3359;Ripley
Motorola;moto e22i;479;449;Ripley
Motorola;moto edge 30 fusion;2499;2399;Ripley
Motorola;moto edge 30;1699;1629;Ripley
Motorola;moto edge 30 pro;2899;2799;Ripley
Motorola;moto g31;699;669;Ripley
Huawei;nova y90;1099;989;Ripley
Xiaomi;poco m5s;1099;949;Ripley
Realme;realme 21y;699;669;Ripley
Realme;realme 9;1299;1169;Ripley
Realme;realme 9i;1159;1043;Ripley
Realme;realme c35;859;809;Ripley
Realme;realme c11;519;499;Ripley
Xiaomi;redmi 10;859;839;Ripley
Xiaomi;redmi 10a;609;599;Ripley
Xiaomi;redmi 10c;729;699;Ripley
Xiaomi;redmi 9a;489;469;Ripley
Xiaomi;redmi 9c;629;599;Ripley
Xiaomi;redmi 9c;639;599;Ripley
Xiaomi;redmi note 11;979;949;Ripley
Samsung;galaxy a13;649;599;Plaza Vea
Alcatel;5033ep;219;199;Plaza Vea
Samsung;galaxy a22;799;749;Plaza Vea
Motorola;moto g31;699;649;Plaza Vea
Xiaomi;redmi 9a;499;;Plaza Vea
Samsung;galaxy a23;899;849;Plaza Vea
Motorola;moto g52;999;939;Plaza Vea
Samsung;galaxy a33;1299;1199;Plaza Vea
Samsung;galaxy a53;1799;1699;Plaza Vea
Motorola;moto g8;499;459;Plaza Vea
Samsung;galaxy a04e;499;;Plaza Vea
Xiaomi;redmi note 11s;1079;;Plaza Vea
Motorola;moto e22i;479;449;Plaza Vea
Tcl;30 se;599;549;Plaza Vea
Xiaomi;redmi note 11;999;;Plaza Vea
Honor;honor x8;1199;;Plaza Vea
Honor;honor x7;999;;Plaza Vea
Huawei;nova 9 se;899;849;Plaza Vea
Xiaomi;poco x4 pro;1499;;Plaza Vea
Xiaomi;poco m4 pro;1099;;Plaza Vea
Realme;9i;1099;999;Plaza Vea
Xiaomi;redmi 9c;799;;Plaza Vea
Vivo;y21s;999;;Plaza Vea
Vivo;v21;2299;;Plaza Vea
Huawei;p50 pro;3699;3399;Plaza Vea
Huawei;nova 8i;999;;Plaza Vea
Motorola;moto e20;579;;Plaza Vea
Motorola;moto g20;899;;Plaza Vea
Realme;c21y;599;559;Plaza Vea
Samsung;galaxy s21 fe;2699;2499;Plaza Vea
Samsung;galaxy a52s;1999;;Plaza Vea
Huawei;y7;699;;Plaza Vea
Huawei;y7;599;;Plaza Vea
Huawei;y8s;899;;Plaza Vea
Samsung;galaxy a23;949;;Plaza Vea
Samsung;galaxy s22 ultra;4559;;Plaza Vea
Apple;iphone 11 pro;2499;;Plaza Vea
Apple;iphone 14 pro max;6999;;Plaza Vea
Apple;iphone 14 pro max;6499;;Plaza Vea
Apple;iphone 13;3729;;Plaza Vea
Apple;iphone 14 pro max;6739;;Plaza Vea
Apple;iphone 14 pro max;7099;;Plaza Vea
Apple;iphone 14;4475;;Plaza Vea
Apple;iphone 13;4219;;Plaza Vea
Apple;iphone xr;1729;;Plaza Vea
Apple;iphone 13;4585;;Plaza Vea
Zte;blade a31 plus;375;;Plaza Vea
Umidigi;a13s;529;;Plaza Vea
Motorola;moto g51;799;699;Plaza Vea
Apple;iphone xr;1629;;Plaza Vea
Samsung;galaxy a53;1549;;Plaza Vea
Samsung;galaxy a53;1988;;Plaza Vea
Xiaomi;redmi note 11;849;749;Plaza Vea
Xiaomi;redmi 9a;409;;Plaza Vea
Cat;s42;1149;;Plaza Vea
Smooth;uno;119.9;;Plaza Vea
Landbyte;landbyte lt1030;92.9;;Plaza Vea
Smooth;snap x;72.9;;Plaza Vea
Samsung;galaxy a04;869;;Plaza Vea
Samsung;galaxy a53;2399;;Plaza Vea
Samsung;galaxy a23;1199;;Plaza Vea
Motorola;moto e20;459;;Plaza Vea
Motorola;moto e30;579;;Plaza Vea
Huawei;honor x9;1530;;Plaza Vea
Motorola;moto e22i;569;;Plaza Vea
Huawei;y7;879;;Plaza Vea
Huawei;y6;699;;Plaza Vea
Huawei;p30 lite;1349;;Plaza Vea
Huawei;y7;749;;Plaza Vea
Apple;iphone 14 pro max;6592;;Plaza Vea
Apple;iphone 14;4559;;Plaza Vea
Apple;iphone 14 pro;6153;;Plaza Vea
